,0,1
878,BrightView Holdings,327
879,REV Group,11
880,Brown & Brown,785
881,Valvoline,582
882,Knights of Columbus,183
883,Central Garden & Pet,235
884,Carpenter Technology,216
885,SLM,839
886,Kennametal,443
887,LCI Industries,73
888,TrueBlue,310
889,Cimarex Energy,52
890,Splunk,757
891,SiteOne Landscape Supply,215
892,Hexcel,1
893,FTI Consulting,1100
894,Party City Holdco,2000
895,Ohio National Mutual,143
896,Patrick Industries,52
897,Cadence Design Systems,1400
898,CDK Global,2200
899,AvalonBay Communities,690
900,Wabash National,132
901,Service Properties Trust,1
902,Maxim Integrated Products,1000
903,People's United Financial,520
904,Bio-Rad Laboratories,766
905,Option Care Health,388
906,Louisiana-Pacific,129
907,TEGNA,274
908,Teradyne,290
909,Arch Resources,1
910,EPAM Systems,3000
911,WPX Energy,70
912,Contura Energy,5
913,Ensign Group,274
914,First Horizon National,418
915,Wolverine World Wide,455
916,Vail Resorts,1300
917,Benchmark Electronics,266
918,HNI,27000
919,F5 Networks,1000
920,Affiliated Managers Group,14
921,OGE Energy,13000
922,Universal,1200
923,BOK Financial,249
924,ManTech International,1000
925,Summit Materials,21
926,AMN Healthcare Services,741
927,Newmark Group,407
928,Fossil Group,1400
929,Modine Manufacturing,196
930,Griffon,2
931,Cypress Semiconductor,648
932,Generac Holdings,410
933,Matson,98
934,Genesco,167
935,Nordson,273
936,NewMarket,38
937,Echo Global Logistics,816
938,Rexnord,419
939,Incyte,59
940,Fortinet,1100
941,Foundation Building Materials,50
942,AAR,122
943,Centric Brands,95
944,Edgewell Personal Care,256
945,Federated Mutual Insurance,145
946,Schnitzer Steel Industries,204
947,Portland General Electric,185
948,Gray Television,166
949,BGC Partners,252
950,EchoStar,384
951,Beazer Homes USA,195
952,LHC Group,908
953,ServiceMaster Global Holdings,557
954,Bruker,242
955,CrossAmerica Partners,9
956,MYR Group,33
957,Viasat,915
958,GNC Holdings,2
959,Cabot Oil & Gas,28
960,Bright Horizons Family Solutions,1900
961,Vista Outdoor,130
962,HEICO,401
963,Wyndham Hotels & Resorts,283
964,TCF Financial,13
965,Primerica,1400
966,ProPetro Holding,56
967,Oceaneering International,709
968,Floor & Decor Holdings,1
969,Copart,706
970,Chico's FAS,1600
971,Barnes & Noble Education,87
972,Maxar Technologies,235
973,Evercore,184
974,Deckers Outdoor,293
975,Express,2900
976,Hovnanian Enterprises,264
977,Viasat,915
978,GNC Holdings,2
979,Cabot Oil & Gas,28
980,Bright Horizons Family Solutions,1900
981,Vista Outdoor,130
982,HEICO,401
983,Wyndham Hotels & Resorts,283
984,TCF Financial,13
985,Primerica,1400
986,ProPetro Holding,56
987,Oceaneering International,709
988,Floor & Decor Holdings,1
989,Copart,706
990,Chico's FAS,1600
991,Barnes & Noble Education,87
992,Maxar Technologies,235
993,Evercore,184
994,Deckers Outdoor,293
995,Express,2900
996,Hovnanian Enterprises,264
997,Air Lease,3
998,Rollins,185
999,SBA Communications,368
1000,Deluxe,635
1001,Mr. Cooper Group,510
1002,Herc Holdings,210
1003,Healthpeak Properties,28
1004,SPX FLOW,175
1005,Liberty Oilfield Services,77
